r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,JST
2,0,0,6070452,25440,517096,0,0,108,2,42,188,0,1,98,0,0,2023-09-30 12:37:32
1,0,0,6068188,25440,517132,0,0,0,0,169,1084,0,1,99,0,0,2023-09-30 12:37:33
0,0,0,6070968,25440,517148,0,0,0,0,601,1888,1,1,98,0,0,2023-09-30 12:37:34
0,0,0,6074676,25440,517148,0,0,0,0,171,1082,1,1,99,0,0,2023-09-30 12:37:35
0,0,0,6074152,25448,517148,0,0,0,48,643,2011,1,1,98,0,0,2023-09-30 12:37:36
0,0,0,6073900,25448,517148,0,0,0,0,158,1056,0,1,99,0,0,2023-09-30 12:37:37
0,0,0,6069872,25448,517148,0,0,0,0,568,1847,1,1,99,0,0,2023-09-30 12:37:38
