Time,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
12:22:34,all,0.88,0.00,0.25,0.00,0.00,0.13,0.00,0.00,0.00,98.75
12:22:34,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,99.00
12:22:34,1,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00
12:22:34,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
12:22:34,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:34,4,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.99
12:22:34,5,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
12:22:34,6,1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,97.03
12:22:34,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:35,all,0.25,0.00,0.25,0.00,0.00,0.12,0.00,0.00,0.00,99.38
12:22:35,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:35,1,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,99.00
12:22:35,2,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.01
12:22:35,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:35,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:35,5,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,98.02
12:22:35,6,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,99.01
12:22:35,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:36,all,0.50,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,98.87
12:22:36,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:36,1,1.01,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,95.96
12:22:36,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:36,3,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
12:22:36,4,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.01
12:22:36,5,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,98.02
12:22:36,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
12:22:36,7,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
