time,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl
24-09 23:09:52,1,0,99,0,0,0,0,100,0,0,0,3,97,0,0,0,0,100,0,0,2,1,98,0,0
24-09 23:09:53,2,1,97,0,0,4,1,95,0,0,1,1,98,0,0,0,1,99,0,0,2,1,97,0,0
24-09 23:09:54,2,0,98,0,0,1,0,99,0,0,0,2,98,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:09:55,2,0,98,0,0,0,1,99,0,0,1,0,99,0,0,0,0,100,0,0,1,1,99,0,0
24-09 23:09:56,0,0,100,0,0,0,3,97,0,0,0,1,99,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:09:57,1,1,98,0,0,1,0,99,0,0,0,0,100,0,0,1,1,98,0,0,1,1,98,0,0
24-09 23:09:58,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:09:59,3,1,96,0,0,2,0,98,0,0,0,0,100,0,0,1,0,99,0,0,1,1,98,0,0
24-09 23:10:00,1,0,99,0,0,2,0,97,1,0,0,2,98,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:10:01,1,0,99,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:10:02,2,2,96,0,0,0,0,100,0,0,0,2,98,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:10:03,0,1,99,0,0,0,1,99,0,0,0,1,99,0,0,1,0,99,0,0,0,1,99,0,0
24-09 23:10:04,0,1,99,0,0,1,0,99,0,0,1,0,99,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:05,0,0,100,0,0,0,0,100,0,0,0,2,98,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:10:06,1,0,99,0,0,1,1,98,0,0,0,2,98,0,0,1,0,99,0,0,1,1,98,0,0
24-09 23:10:07,3,0,97,0,0,0,1,99,0,0,0,2,98,0,0,0,1,99,0,0,1,1,98,0,0
24-09 23:10:08,0,1,99,0,0,3,0,97,0,0,1,1,98,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:09,0,2,98,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,99,0,0
