time,snmp,counter,unit
2023-09-30 13:24:08,Ip6InHdrErrors,0,0.0
2023-09-30 13:24:08,Ip6InTooBigErrors,0,0.0
2023-09-30 13:24:08,Ip6InNoRoutes,0,0.0
2023-09-30 13:24:08,Ip6InAddrErrors,0,0.0
2023-09-30 13:24:08,Ip6InUnknownProtos,0,0.0
2023-09-30 13:24:08,Ip6InTruncatedPkts,0,0.0
2023-09-30 13:24:08,Ip6InDiscards,0,0.0
2023-09-30 13:24:08,Ip6InDelivers,0,0.0
2023-09-30 13:24:08,Ip6OutForwDatagrams,0,0.0
2023-09-30 13:24:08,Ip6OutRequests,1,0.0
2023-09-30 13:24:08,Ip6OutDiscards,0,0.0
2023-09-30 13:24:08,Ip6OutNoRoutes,0,0.0
2023-09-30 13:24:08,Ip6ReasmTimeout,0,0.0
2023-09-30 13:24:08,Ip6ReasmReqds,0,0.0
2023-09-30 13:24:08,Ip6ReasmOKs,0,0.0
2023-09-30 13:24:08,Ip6ReasmFails,0,0.0
2023-09-30 13:24:08,Ip6FragOKs,0,0.0
2023-09-30 13:24:08,Ip6FragFails,0,0.0
2023-09-30 13:24:08,Ip6FragCreates,0,0.0
2023-09-30 13:24:08,Ip6InMcastPkts,0,0.0
2023-09-30 13:24:08,Ip6OutMcastPkts,1,0.0
2023-09-30 13:24:08,Ip6InOctets,0,0.0
2023-09-30 13:24:08,Ip6OutOctets,56,0.0
2023-09-30 13:24:08,Ip6InMcastOctets,0,0.0
2023-09-30 13:24:08,Ip6OutMcastOctets,56,0.0
2023-09-30 13:24:08,Ip6InBcastOctets,0,0.0
2023-09-30 13:24:08,Ip6OutBcastOctets,0,0.0
2023-09-30 13:24:08,Ip6InNoECTPkts,0,0.0
2023-09-30 13:24:08,Ip6InECT1Pkts,0,0.0
2023-09-30 13:24:08,Ip6InECT0Pkts,0,0.0
2023-09-30 13:24:08,Ip6InCEPkts,0,0.0
2023-09-30 13:24:08,Icmp6InMsgs,0,0.0
2023-09-30 13:24:08,Icmp6InErrors,0,0.0
2023-09-30 13:24:08,Icmp6OutMsgs,1,0.0
2023-09-30 13:24:08,Icmp6OutErrors,0,0.0
2023-09-30 13:24:08,Icmp6InCsumErrors,0,0.0
2023-09-30 13:24:08,Icmp6InDestUnreachs,0,0.0
2023-09-30 13:24:08,Icmp6InPktTooBigs,0,0.0
2023-09-30 13:24:08,Icmp6InTimeExcds,0,0.0
2023-09-30 13:24:08,Icmp6InParmProblems,0,0.0
2023-09-30 13:24:08,Icmp6InEchos,0,0.0
2023-09-30 13:24:08,Icmp6InEchoReplies,0,0.0
2023-09-30 13:24:08,Icmp6InGroupMembQueries,0,0.0
2023-09-30 13:24:08,Icmp6InGroupMembResponses,0,0.0
2023-09-30 13:24:08,Icmp6InGroupMembReductions,0,0.0
2023-09-30 13:24:08,Icmp6InRouterSolicits,0,0.0
2023-09-30 13:24:08,Icmp6InRouterAdvertisements,0,0.0
2023-09-30 13:24:08,Icmp6InNeighborSolicits,0,0.0
2023-09-30 13:24:08,Icmp6InNeighborAdvertisements,0,0.0
2023-09-30 13:24:08,Icmp6InRedirects,0,0.0
2023-09-30 13:24:08,Icmp6InMLDv2Reports,0,0.0
2023-09-30 13:24:08,Icmp6OutDestUnreachs,0,0.0
2023-09-30 13:24:08,Icmp6OutPktTooBigs,0,0.0
2023-09-30 13:24:08,Icmp6OutTimeExcds,0,0.0
2023-09-30 13:24:08,Icmp6OutParmProblems,0,0.0
2023-09-30 13:24:08,Icmp6OutEchos,0,0.0
2023-09-30 13:24:08,Icmp6OutEchoReplies,0,0.0
2023-09-30 13:24:08,Icmp6OutGroupMembQueries,0,0.0
2023-09-30 13:24:08,Icmp6OutGroupMembResponses,0,0.0
2023-09-30 13:24:08,Icmp6OutGroupMembReductions,0,0.0
2023-09-30 13:24:08,Icmp6OutRouterSolicits,1,0.0
2023-09-30 13:24:08,Icmp6OutRouterAdvertisements,0,0.0
2023-09-30 13:24:08,Icmp6OutNeighborSolicits,0,0.0
2023-09-30 13:24:08,Icmp6OutNeighborAdvertisements,0,0.0
2023-09-30 13:24:08,Icmp6OutRedirects,0,0.0
2023-09-30 13:24:08,Icmp6OutMLDv2Reports,0,0.0
2023-09-30 13:24:08,Icmp6InType136,0,0.0
2023-09-30 13:24:08,Icmp6OutType133,1,0.0
2023-09-30 13:24:08,Icmp6OutType135,0,0.0
2023-09-30 13:24:08,Icmp6OutType143,0,0.0
2023-09-30 13:24:08,Udp6InDatagrams,0,0.0
2023-09-30 13:24:08,Udp6NoPorts,0,0.0
2023-09-30 13:24:08,Udp6InErrors,0,0.0
2023-09-30 13:24:08,Udp6OutDatagrams,0,0.0
2023-09-30 13:24:08,Udp6RcvbufErrors,0,0.0
2023-09-30 13:24:08,Udp6SndbufErrors,0,0.0
2023-09-30 13:24:08,Udp6InCsumErrors,0,0.0
2023-09-30 13:24:08,Udp6IgnoredMulti,0,0.0
2023-09-30 13:24:08,Udp6MemErrors,0,0.0
2023-09-30 13:24:08,UdpLite6InDatagrams,0,0.0
2023-09-30 13:24:08,UdpLite6NoPorts,0,0.0
2023-09-30 13:24:08,UdpLite6InErrors,0,0.0
2023-09-30 13:24:08,UdpLite6OutDatagrams,0,0.0
2023-09-30 13:24:08,UdpLite6RcvbufErrors,0,0.0
2023-09-30 13:24:08,UdpLite6SndbufErrors,0,0.0
2023-09-30 13:24:08,UdpLite6InCsumErrors,0,0.0
2023-09-30 13:24:08,UdpLite6MemErrors,0,0.0
2023-09-30 13:24:08,TcpExtSyncookiesSent,0,0.0
2023-09-30 13:24:08,TcpExtSyncookiesRecv,0,0.0
2023-09-30 13:24:08,TcpExtSyncookiesFailed,0,0.0
2023-09-30 13:24:08,TcpExtEmbryonicRsts,0,0.0
2023-09-30 13:24:08,TcpExtPruneCalled,0,0.0
2023-09-30 13:24:08,TcpExtRcvPruned,0,0.0
2023-09-30 13:24:08,TcpExtOfoPruned,0,0.0
2023-09-30 13:24:08,TcpExtOutOfWindowIcmps,0,0.0
2023-09-30 13:24:08,TcpExtLockDroppedIcmps,0,0.0
2023-09-30 13:24:08,TcpExtArpFilter,0,0.0
2023-09-30 13:24:08,TcpExtTW,0,0.0
2023-09-30 13:24:08,TcpExtTWRecycled,0,0.0
